User_ID,Page_views,Unique_visitors,Bounce_rate,Average_session_duration,Date,Products,Conversions,Conversion_path,Conversion_value,Device,Traffic_source,Age,Gender,Country,Product_views,Cart_abandonment,Product_reviews,Page
135edeb2-726d-4697-ac3e-c9a62dfb6e33,369,238,16,69.86,2020-01-01,Aviator Sunglasses,10.0,https://Yourclothingbrand.com/store/sunglasses,205.42,Desktop,Social Media,32,Female,Canada,49,4,1,sunglasses
14520c3c-15b6-41dd-8d4c-8dbf9dd900ea,144,356,68,98.83,2020-01-01,Cashmere Sweater,8.0,https://Yourclothingbrand.com/store/sweaters,265.58,Desktop,Social Media,64,Female,Austria,13,9,1,sweater
2012ca70-6c9d-4751-818f-af21054cf314,331,168,50,92.37,2020-01-01,Floral Dress,28.0,https://Yourclothingbrand.com/store/dresses,167.74,Mobile,Organic Search,31,Female,UK,45,2,4,dress
81c2add7-f7b2-4383-bdb2-d210c21c9a6a,174,281,64,99.89,2020-01-01,Floral Dress,18.0,https://Yourclothingbrand.com/store/dresses,134.61,Mobile,Organic Search,65,Female,Nigeria,60,52,5,dress
5a6fd690-8654-4803-bda3-9bf30c7361e3,361,274,11,111.68,2020-01-01,Basic T-Shirt,21.0,https://Yourclothingbrand.com/store/t-shirts,181.28,Desktop,Social Media,69,Male,UK,15,26,5,t-shirt
84525d39-f287-42d0-aa64-cd3bb4d2b3e5,226,259,28,82.66,2020-01-01,Comfy Shorts,4.0,https://Yourclothingbrand.com/store/shorts,117.03,Desktop,Paid Advertising,20,Male,Australia,65,43,4,shorts
bdbf12a3-4421-42d1-be29-ee84d89ab1e6,153,126,22,78.32,2020-01-01,Cropped Pants,10.0,https://Yourclothingbrand.com/store/pants,248.93,Mobile,Paid Advertising,49,Female,Netherlands,57,35,5,pants
1a7bd6e9-0e1f-4793-9fda-6189965427bf,364,238,15,113.6,2020-01-01,Fashionable Outerwear,11.0,https://Yourclothingbrand.com/store/outerwear,104.95,Mobile,Paid Advertising,55,Female,Nigeria,52,48,5,outerwear
260327c6-0725-4d9e-a179-4648216ebd50,399,234,11,101.48,2020-01-01,Fashionable Outerwear,9.0,https://Yourclothingbrand.com/store/outerwear,201.98,Desktop,Organic Search,69,Female,Ireland,30,14,5,outerwear
3e5e248a-5401-47dc-89a1-f4d73748de54,323,284,54,109.15,2020-01-01,Pleated Skirt,15.0,https://Yourclothingbrand.com/store/skirts,113.01,Mobile,Paid Advertising,22,Male,Austria,44,12,5,skirt
4a5418d7-55cd-4ed6-af0b-4f3278b932b7,367,230,62,65.79,2020-01-01,Chic Accessories,16.0,https://Yourclothingbrand.com/store/accessories,240.29,Desktop,Social Media,49,Female,UK,31,34,1,accessories
3ee1034e-90cd-48f4-92cc-4de2fef5684f,181,243,76,77.03,2020-01-01,Running Activewear,40.0,https://Yourclothingbrand.com/store/activewear,63.68,Mobile,Social Media,65,Female,Germany,19,14,2,activewear
d105b1fa-14c9-4ae4-8692-a29ccdeecec9,320,308,76,87.73,2020-01-01,Featured Products,7.0,https://Yourclothingbrand.com/home,50.08,Desktop,Paid Advertising,69,Female,UK,71,55,5,home
124cc749-ce2f-49c7-acb0-160dcea6bf69,221,197,12,101.63,2020-01-01,Stylish Jacket,18.0,https://Yourclothingbrand.com/store/jackets,162.77,Desktop,Social Media,25,Female,Germany,32,14,2,jacket
58857be4-32de-4ddb-b860-fdb696d88070,206,364,25,61.32,2020-01-01,Sporty Activewear,7.0,https://Yourclothingbrand.com/store/activewear,220.0,Desktop,Social Media,58,Male,Ireland,54,25,5,activewear
9bd8d6a1-5e1d-429e-9eda-d5adbb8452cb,274,315,44,99.87,2020-01-01,Personal Styling,10.0,https://Yourclothingbrand.com/services,83.77,Desktop,Paid Advertising,49,Female,France,77,56,2,services
e5077daf-75f7-47ac-a75b-d3d87aa8429b,309,300,63,71.28,2020-01-01,Midi Skirt,7.0,https://Yourclothingbrand.com/store/skirts,233.67,Mobile,Paid Advertising,51,Female,UK,36,35,3,skirt
a64224f2-0cf4-4239-aa72-d29f618f0a0c,201,385,10,68.24,2020-01-01,Bomber Jacket,4.0,https://Yourclothingbrand.com/store/jackets,233.39,Desktop,Paid Advertising,31,Female,Singapore,15,3,4,jacket
2599629b-9429-4ee1-919f-35415f9720a1,147,319,63,102.4,2020-01-01,Knitted Sweater,11.0,https://Yourclothingbrand.com/store/sweaters,205.5,Desktop,Social Media,57,Male,Finland,80,29,2,sweater
6747ae4d-d208-42be-b7b3-4d59fcfa3ec1,183,235,67,92.86,2020-01-01,Leather Jacket,9.0,https://Yourclothingbrand.com/store/jackets,62.42,Desktop,Organic Search,27,Male,Nigeria,8,36,5,jacket
16b80994-e668-4fbe-89c7-9a1057d9d71e,211,152,33,99.96,2020-01-01,Personal Styling,6.0,https://Yourclothingbrand.com/services,160.71,Desktop,Paid Advertising,50,Male,USA,4,53,5,services
55c9366f-8629-4247-a226-2cba5aec1455,290,378,21,107.91,2020-01-01,Meet the Team,11.0,https://Yourclothingbrand.com/about-us,159.6,Desktop,Organic Search,45,Female,New Zealand,74,63,5,about us
946cfb63-1300-4d5f-9ce5-f5547421dbba,251,348,45,75.89,2020-01-01,Stylish Hat,8.0,https://Yourclothingbrand.com/store/hats,239.12,Desktop,Organic Search,70,Female,Australia,66,57,4,hat
c00f724a-886b-4f0e-a3ff-12ca3950480f,111,377,62,66.03,2020-01-01,Sneaker Collection,5.0,https://Yourclothingbrand.com/store/sneakers,204.4,Desktop,Paid Advertising,34,Male,Ireland,39,34,1,sneaker
22595983-68c0-4241-a708-a0d40882addf,314,352,35,77.05,2020-01-01,Cozy Sweater,8.0,https://Yourclothingbrand.com/store/sweaters,299.72,Desktop,Organic Search,68,Female,Germany,25,31,2,sweater
f022abb5-93be-4498-9317-ff8985e7af34,173,265,39,86.05,2020-01-01,Company History,22.0,https://Yourclothingbrand.com/about-us,194.75,Desktop,Social Media,34,Male,New Zealand,23,74,3,about us
98b4fb14-368e-4741-98c7-d61ff90bbd00,281,261,54,66.8,2020-01-01,Stylish Hat,11.0,https://Yourclothingbrand.com/store/hats,207.17,Desktop,Paid Advertising,52,Female,Canada,29,31,4,hat
e99f1ce2-9630-44b1-9060-e3f84510eb58,199,323,65,81.81,2020-01-01,Leather Handbag,20.0,https://Yourclothingbrand.com/store/handbags,249.06,Mobile,Organic Search,51,Female,Austria,15,38,4,handbag
f66f0adf-2233-4d01-8e9d-6c4bd0a5591b,264,285,75,116.95,2020-01-01,Cashmere Sweater,5.0,https://Yourclothingbrand.com/store/sweaters,194.4,Desktop,Paid Advertising,67,Female,Singapore,26,8,4,sweater
9bb62b2f-fb5b-4a34-bd10-30dc5fdea45b,279,354,27,94.82,2020-01-01,Printed Scarf,7.0,https://Yourclothingbrand.com/store/scarves,151.53,Desktop,Organic Search,67,Female,UK,57,47,4,scarf
5201222c-11ea-41ba-998b-a2e14183876f,233,306,20,85.51,2020-01-01,Classic Jeans,7.0,https://Yourclothingbrand.com/store/jeans,275.09,Desktop,Paid Advertising,66,Female,Germany,73,77,4,jeans
