User_ID,Products,Conversions,Conversion_path,Conversion_value,Device,Traffic_source
135edeb2-726d-4697-ac3e-c9a62dfb6e33,Aviator Sunglasses,9.775502702809323,https://Yourclothingbrand.com/store/sunglasses,205.42,Desktop,Social Media
14520c3c-15b6-41dd-8d4c-8dbf9dd900ea,Cashmere Sweater,7.661980396022954,https://Yourclothingbrand.com/store/sweaters,265.58,Desktop,Social Media
2012ca70-6c9d-4751-818f-af21054cf314,Floral Dress,28.49328637700631,https://Yourclothingbrand.com/store/dresses,167.74,Mobile,Organic Search
81c2add7-f7b2-4383-bdb2-d210c21c9a6a,Floral Dress,18.23113059550346,https://Yourclothingbrand.com/store/dresses,134.61,Mobile,Organic Search
5a6fd690-8654-4803-bda3-9bf30c7361e3,Basic T-Shirt,20.817919717022807,https://Yourclothingbrand.com/store/t-shirts,181.28,Desktop,Social Media
84525d39-f287-42d0-aa64-cd3bb4d2b3e5,Comfy Shorts,4.292966853524241,https://Yourclothingbrand.com/store/shorts,117.03,Desktop,Paid Advertising
bdbf12a3-4421-42d1-be29-ee84d89ab1e6,Cropped Pants,10.212370119411176,https://Yourclothingbrand.com/store/pants,248.93,Mobile,Paid Advertising
1a7bd6e9-0e1f-4793-9fda-6189965427bf,Fashionable Outerwear,10.525798783616462,https://Yourclothingbrand.com/store/outerwear,104.95,Mobile,Paid Advertising
260327c6-0725-4d9e-a179-4648216ebd50,Fashionable Outerwear,8.988412631388435,https://Yourclothingbrand.com/store/outerwear,201.98,Desktop,Organic Search
3e5e248a-5401-47dc-89a1-f4d73748de54,Pleated Skirt,14.542884062543541,https://Yourclothingbrand.com/store/skirts,113.01,Mobile,Paid Advertising
4a5418d7-55cd-4ed6-af0b-4f3278b932b7,Chic Accessories,15.84246158672476,https://Yourclothingbrand.com/store/accessories,240.29,Desktop,Social Media
3ee1034e-90cd-48f4-92cc-4de2fef5684f,Running Activewear,39.66311054950827,https://Yourclothingbrand.com/store/activewear,63.68,Mobile,Social Media
d105b1fa-14c9-4ae4-8692-a29ccdeecec9,Featured Products,6.5182412321414,https://Yourclothingbrand.com/home,50.08,Desktop,Paid Advertising
124cc749-ce2f-49c7-acb0-160dcea6bf69,Stylish Jacket,18.166722688204874,https://Yourclothingbrand.com/store/jackets,162.77,Desktop,Social Media
58857be4-32de-4ddb-b860-fdb696d88070,Sporty Activewear,6.858251043424096,https://Yourclothingbrand.com/store/activewear,220.0,Desktop,Social Media
9bd8d6a1-5e1d-429e-9eda-d5adbb8452cb,Personal Styling,9.555905504382425,https://Yourclothingbrand.com/services,83.77,Desktop,Paid Advertising
e5077daf-75f7-47ac-a75b-d3d87aa8429b,Midi Skirt,6.962742943949369,https://Yourclothingbrand.com/store/skirts,233.67,Mobile,Paid Advertising
a64224f2-0cf4-4239-aa72-d29f618f0a0c,Bomber Jacket,4.085687054116405,https://Yourclothingbrand.com/store/jackets,233.39,Desktop,Paid Advertising
2599629b-9429-4ee1-919f-35415f9720a1,Knitted Sweater,11.017090180973225,https://Yourclothingbrand.com/store/sweaters,205.5,Desktop,Social Media
6747ae4d-d208-42be-b7b3-4d59fcfa3ec1,Leather Jacket,8.981074567446687,https://Yourclothingbrand.com/store/jackets,62.42,Desktop,Organic Search
16b80994-e668-4fbe-89c7-9a1057d9d71e,Personal Styling,6.107347160493849,https://Yourclothingbrand.com/services,160.71,Desktop,Paid Advertising
55c9366f-8629-4247-a226-2cba5aec1455,Meet the Team,11.26158332637713,https://Yourclothingbrand.com/about-us,159.6,Desktop,Organic Search
946cfb63-1300-4d5f-9ce5-f5547421dbba,Stylish Hat,8.337999552970848,https://Yourclothingbrand.com/store/hats,239.12,Desktop,Organic Search
c00f724a-886b-4f0e-a3ff-12ca3950480f,Sneaker Collection,4.872959447916323,https://Yourclothingbrand.com/store/sneakers,204.4,Desktop,Paid Advertising
22595983-68c0-4241-a708-a0d40882addf,Cozy Sweater,8.46312381666535,https://Yourclothingbrand.com/store/sweaters,299.72,Desktop,Organic Search
f022abb5-93be-4498-9317-ff8985e7af34,Company History,22.126097972750014,https://Yourclothingbrand.com/about-us,194.75,Desktop,Social Media
98b4fb14-368e-4741-98c7-d61ff90bbd00,Stylish Hat,10.96643084870761,https://Yourclothingbrand.com/store/hats,207.17,Desktop,Paid Advertising
e99f1ce2-9630-44b1-9060-e3f84510eb58,Leather Handbag,20.056916844444835,https://Yourclothingbrand.com/store/handbags,249.06,Mobile,Organic Search
