User_ID,Age,Gender,Country
135edeb2-726d-4697-ac3e-c9a62dfb6e33,32,Female,Canada
14520c3c-15b6-41dd-8d4c-8dbf9dd900ea,64,Female,Austria
2012ca70-6c9d-4751-818f-af21054cf314,31,Female,UK
81c2add7-f7b2-4383-bdb2-d210c21c9a6a,65,Female,Nigeria
5a6fd690-8654-4803-bda3-9bf30c7361e3,69,Male,UK
84525d39-f287-42d0-aa64-cd3bb4d2b3e5,20,Male,Australia
bdbf12a3-4421-42d1-be29-ee84d89ab1e6,49,Female,Netherlands
1a7bd6e9-0e1f-4793-9fda-6189965427bf,55,Female,Nigeria
260327c6-0725-4d9e-a179-4648216ebd50,69,Female,Ireland
3e5e248a-5401-47dc-89a1-f4d73748de54,22,Male,Austria
4a5418d7-55cd-4ed6-af0b-4f3278b932b7,49,Female,UK
3ee1034e-90cd-48f4-92cc-4de2fef5684f,65,Female,Germany
d105b1fa-14c9-4ae4-8692-a29ccdeecec9,69,Female,UK
124cc749-ce2f-49c7-acb0-160dcea6bf69,25,Female,Germany
58857be4-32de-4ddb-b860-fdb696d88070,58,Male,Ireland
9bd8d6a1-5e1d-429e-9eda-d5adbb8452cb,49,Female,France
e5077daf-75f7-47ac-a75b-d3d87aa8429b,51,Female,UK
a64224f2-0cf4-4239-aa72-d29f618f0a0c,31,Female,Singapore
2599629b-9429-4ee1-919f-35415f9720a1,57,Male,Finland
6747ae4d-d208-42be-b7b3-4d59fcfa3ec1,27,Male,Nigeria
16b80994-e668-4fbe-89c7-9a1057d9d71e,50,Male,USA
55c9366f-8629-4247-a226-2cba5aec1455,45,Female,New Zealand
946cfb63-1300-4d5f-9ce5-f5547421dbba,70,Female,Australia
c00f724a-886b-4f0e-a3ff-12ca3950480f,34,Male,Ireland
22595983-68c0-4241-a708-a0d40882addf,68,Female,Germany
f022abb5-93be-4498-9317-ff8985e7af34,34,Male,New Zealand
98b4fb14-368e-4741-98c7-d61ff90bbd00,52,Female,Canada
e99f1ce2-9630-44b1-9060-e3f84510eb58,51,Female,Austria
f66f0adf-2233-4d01-8e9d-6c4bd0a5591b,67,Female,Singapore
