User_ID,Page_views,Unique_visitors,Bounce_rate,Average_session_duration,Date,Products,Conversion_rate,Conversion_path,Conversion_value,Device,Traffic_source,Age,Gender,Country,Income,Product_views,Cart_abandonment,Product_reviews,Page
78f70c64-2a74-464c-8c88-204d8abeda19,14,36,14,95.03,2020-01-01,Silk Scarf,9.165,https://Yourclothingbrand.com/store/scarves,123.72,Desktop,Paid Advertising,47,Male,Singapore,991.85,4,8,4,scarf
74f564a5-010a-469c-baf4-f0c9ebdb7a91,71,18,22,107.23,2020-01-01,Maxi Dress,5.9286,https://Yourclothingbrand.com/store/dresses,156.75,Mobile,Organic Search,40,Female,Netherlands,259.67,27,7,0,dress
f74cb583-fa3a-47c6-86e8-067da5b44782,88,39,33,55.82,2020-01-01,New Arrivals,13.4316,https://Yourclothingbrand.com/home,196.06,Desktop,Organic Search,28,Male,Singapore,638.01,21,22,3,home
ee1f1208-c4cd-448e-9e15-82c119ebd5de,76,31,25,50.19,2020-01-01,Dainty Jewelry,5.3265,https://Yourclothingbrand.com/store/jewelry,62.45,Desktop,Social Media,65,Female,Nigeria,449.42,3,21,3,jewelry
14d566a4-070d-4354-9535-7e8b6ede7fa0,24,40,26,42.66,2020-01-01,Yoga Activewear,6.1272,https://Yourclothingbrand.com/store/activewear,126.27,Mobile,Organic Search,60,Female,Australia,811.26,2,10,2,activewear
297c16c1-d687-4f73-96f5-c97b37715cf4,40,53,17,118.15,2020-01-01,Fedora Hat,9.6408,https://Yourclothingbrand.com/store/hats,122.42,Desktop,Organic Search,68,Male,South Korea,627.66,14,16,1,hat
74e98bf5-6899-427a-b9e3-6649d4951fd4,49,21,21,83.26,2020-01-01,Graphic T-Shirt,6.292999999999999,https://Yourclothingbrand.com/store/t-shirts,161.01,Desktop,Paid Advertising,32,Female,Australia,936.66,12,9,1,t-shirt
53a96056-1d28-4405-b6ae-c3e694abc02c,17,51,31,86.82,2020-01-01,New Arrivals,10.6155,https://Yourclothingbrand.com/home,127.99,Desktop,Organic Search,66,Male,Finland,967.7,15,29,2,home
8397f6ec-2c9f-4e6b-92d3-3a42b240fb9f,25,46,18,69.29,2020-01-01,Printed Scarf,9.5484,https://Yourclothingbrand.com/store/scarves,99.21,Desktop,Organic Search,28,Male,Singapore,563.76,6,15,1,scarf
6be4424a-51f5-449b-800c-6e2548165343,46,54,27,113.63,2020-01-01,Yoga Activewear,15.0154,https://Yourclothingbrand.com/store/activewear,145.54,Desktop,Organic Search,37,Female,France,319.8,20,18,1,activewear
77a5201d-5566-4483-88d4-093be7553d3e,32,33,29,60.85,2020-01-01,Statement Jewelry,9.3328,https://Yourclothingbrand.com/store/jewelry,192.64,Desktop,Organic Search,57,Female,Australia,490.08,30,11,0,jewelry
ce4771c1-c2ff-4097-a972-7cacf92d93f7,50,24,19,49.78,2020-01-01,Stylish Jacket,16.744200000000003,https://Yourclothingbrand.com/store/jackets,62.2,Desktop,Organic Search,66,Female,UK,783.83,29,7,5,jacket
